"PROVINCIE";"Age";"Male";"Female"
"Groningen (PV)";"16 jaar";"3155";"3019"
"Groningen (PV)";"17 jaar";"3286";"3171"
"Groningen (PV)";"18 jaar";"3921";"4052"
"Groningen (PV)";"19 jaar";"4462";"5017"
"Groningen (PV)";"20 tot 30 jaar";"45561";"43987"
"Groningen (PV)";"30 tot 40 jaar";"34272";"32533"
"Groningen (PV)";"40 tot 50 jaar";"42328";"40993"
"Groningen (PV)";"50 tot 60 jaar";"40044";"39638"
"Groningen (PV)";"60 tot 70 jaar";"35605";"34915"
"Groningen (PV)";"70 tot 80 jaar";"18923";"21796"
"Groningen (PV)";"80 tot 90 jaar";"7676";"13350"
"Groningen (PV)";"90 jaar of ouder";"1033";"3206"
"Friesland (PV)";"16 jaar";"4156";"3856"
"Friesland (PV)";"17 jaar";"4108";"4015"
"Friesland (PV)";"18 jaar";"4145";"3745"
"Friesland (PV)";"19 jaar";"3997";"3765"
"Friesland (PV)";"20 tot 30 jaar";"37549";"34167"
"Friesland (PV)";"30 tot 40 jaar";"36507";"35136"
"Friesland (PV)";"40 tot 50 jaar";"49529";"47756"
"Friesland (PV)";"50 tot 60 jaar";"45863";"45419"
"Friesland (PV)";"60 tot 70 jaar";"41238";"41070"
"Friesland (PV)";"70 tot 80 jaar";"23600";"25911"
"Friesland (PV)";"80 tot 90 jaar";"9202";"15427"
"Friesland (PV)";"90 jaar of ouder";"1158";"3388"
"Drenthe (PV)";"16 jaar";"3131";"2987"
"Drenthe (PV)";"17 jaar";"3062";"2906"
"Drenthe (PV)";"18 jaar";"2894";"2619"
"Drenthe (PV)";"19 jaar";"2696";"2308"
"Drenthe (PV)";"20 tot 30 jaar";"23804";"21830"
"Drenthe (PV)";"30 tot 40 jaar";"25758";"25833"
"Drenthe (PV)";"40 tot 50 jaar";"37683";"37857"
"Drenthe (PV)";"50 tot 60 jaar";"36661";"36706"
"Drenthe (PV)";"60 tot 70 jaar";"33042";"32989"
"Drenthe (PV)";"70 tot 80 jaar";"19059";"21707"
"Drenthe (PV)";"80 tot 90 jaar";"7672";"12644"
"Drenthe (PV)";"90 jaar of ouder";"975";"2732"
"Overijssel (PV)";"16 jaar";"7114";"6771"
"Overijssel (PV)";"17 jaar";"6938";"6758"
"Overijssel (PV)";"18 jaar";"7242";"6684"
"Overijssel (PV)";"19 jaar";"7243";"6649"
"Overijssel (PV)";"20 tot 30 jaar";"72215";"66615"
"Overijssel (PV)";"30 tot 40 jaar";"69572";"67029"
"Overijssel (PV)";"40 tot 50 jaar";"86677";"83548"
"Overijssel (PV)";"50 tot 60 jaar";"77727";"76191"
"Overijssel (PV)";"60 tot 70 jaar";"65863";"65791"
"Overijssel (PV)";"70 tot 80 jaar";"37763";"43281"
"Overijssel (PV)";"80 tot 90 jaar";"15118";"25961"
"Overijssel (PV)";"90 jaar of ouder";"1583";"5050"
"Flevoland (PV)";"16 jaar";"2750";"2662"
"Flevoland (PV)";"17 jaar";"2791";"2584"
"Flevoland (PV)";"18 jaar";"2960";"2578"
"Flevoland (PV)";"19 jaar";"2717";"2415"
"Flevoland (PV)";"20 tot 30 jaar";"25986";"25149"
"Flevoland (PV)";"30 tot 40 jaar";"25283";"26872"
"Flevoland (PV)";"40 tot 50 jaar";"32294";"32297"
"Flevoland (PV)";"50 tot 60 jaar";"28091";"27945"
"Flevoland (PV)";"60 tot 70 jaar";"19171";"18586"
"Flevoland (PV)";"70 tot 80 jaar";"8254";"9070"
"Flevoland (PV)";"80 tot 90 jaar";"3305";"5024"
"Flevoland (PV)";"90 jaar of ouder";"368";"967"
"Gelderland (PV)";"16 jaar";"12707";"12018"
"Gelderland (PV)";"17 jaar";"12768";"12191"
"Gelderland (PV)";"18 jaar";"13000";"12561"
"Gelderland (PV)";"19 jaar";"12652";"12401"
"Gelderland (PV)";"20 tot 30 jaar";"118511";"116533"
"Gelderland (PV)";"30 tot 40 jaar";"113623";"114381"
"Gelderland (PV)";"40 tot 50 jaar";"154198";"153878"
"Gelderland (PV)";"50 tot 60 jaar";"144625";"143489"
"Gelderland (PV)";"60 tot 70 jaar";"122494";"124534"
"Gelderland (PV)";"70 tot 80 jaar";"67914";"78917"
"Gelderland (PV)";"80 tot 90 jaar";"27119";"46514"
"Gelderland (PV)";"90 jaar of ouder";"2950";"9388"
"Utrecht (PV)";"16 jaar";"7387";"6827"
"Utrecht (PV)";"17 jaar";"7170";"6846"
"Utrecht (PV)";"18 jaar";"7274";"7655"
"Utrecht (PV)";"19 jaar";"7550";"8190"
"Utrecht (PV)";"20 tot 30 jaar";"80841";"87007"
"Utrecht (PV)";"30 tot 40 jaar";"80886";"82853"
"Utrecht (PV)";"40 tot 50 jaar";"95822";"95743"
"Utrecht (PV)";"50 tot 60 jaar";"81594";"82557"
"Utrecht (PV)";"60 tot 70 jaar";"64689";"67302"
"Utrecht (PV)";"70 tot 80 jaar";"34609";"41140"
"Utrecht (PV)";"80 tot 90 jaar";"14463";"24820"
"Utrecht (PV)";"90 jaar of ouder";"1738";"5615"
"Noord-Holland (PV)";"16 jaar";"14907";"14366"
