"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"Perioden: 2015"
"";"";"Onderwerp"
"";"";"||Mannen";"Vrouwen"
"Regio's";"Leeftijd";"aantal";"aantal"
"Groningen (PV)";"16 jaar";"3326";"3144"
"Groningen (PV)";"17 jaar";"3335";"3218"
"Groningen (PV)";"18 jaar";"3834";"4085"
"Groningen (PV)";"19 jaar";"4603";"5025"
"Groningen (PV)";"20 tot 30 jaar";"46858";"45311"
"Groningen (PV)";"30 tot 40 jaar";"33663";"31469"
"Groningen (PV)";"40 tot 50 jaar";"40563";"39176"
"Groningen (PV)";"50 tot 60 jaar";"40531";"40389"
"Groningen (PV)";"60 tot 70 jaar";"36587";"35900"
"Groningen (PV)";"70 tot 80 jaar";"20428";"22869"
"Groningen (PV)";"80 tot 90 jaar";"8190";"13308"
"Groningen (PV)";"90 jaar of ouder";"1104";"3422"
"Friesland (PV)";"16 jaar";"4204";"4011"
"Friesland (PV)";"17 jaar";"4087";"3989"
"Friesland (PV)";"18 jaar";"4065";"3738"
"Friesland (PV)";"19 jaar";"3982";"3756"
"Friesland (PV)";"20 tot 30 jaar";"37576";"33999"
"Friesland (PV)";"30 tot 40 jaar";"35565";"34077"
"Friesland (PV)";"40 tot 50 jaar";"47360";"45728"
"Friesland (PV)";"50 tot 60 jaar";"46577";"46329"
"Friesland (PV)";"60 tot 70 jaar";"42285";"41829"
"Friesland (PV)";"70 tot 80 jaar";"25819";"27856"
"Friesland (PV)";"80 tot 90 jaar";"9632";"15610"
"Friesland (PV)";"90 jaar of ouder";"1306";"3669"
"Drenthe (PV)";"16 jaar";"3269";"3073"
"Drenthe (PV)";"17 jaar";"3144";"2896"
"Drenthe (PV)";"18 jaar";"2961";"2566"
"Drenthe (PV)";"19 jaar";"2638";"2265"
"Drenthe (PV)";"20 tot 30 jaar";"23645";"21589"
"Drenthe (PV)";"30 tot 40 jaar";"24944";"24855"
"Drenthe (PV)";"40 tot 50 jaar";"35775";"36138"
"Drenthe (PV)";"50 tot 60 jaar";"37265";"37369"
"Drenthe (PV)";"60 tot 70 jaar";"33908";"34147"
"Drenthe (PV)";"70 tot 80 jaar";"20558";"22788"
"Drenthe (PV)";"80 tot 90 jaar";"8363";"13001"
"Drenthe (PV)";"90 jaar of ouder";"1067";"2974"
"Overijssel (PV)";"16 jaar";"7477";"7031"
"Overijssel (PV)";"17 jaar";"7184";"6839"
"Overijssel (PV)";"18 jaar";"7145";"6405"
"Overijssel (PV)";"19 jaar";"6954";"6324"
"Overijssel (PV)";"20 tot 30 jaar";"72069";"66501"
"Overijssel (PV)";"30 tot 40 jaar";"67616";"65200"
"Overijssel (PV)";"40 tot 50 jaar";"83693";"81102"
"Overijssel (PV)";"50 tot 60 jaar";"79871";"78399"
"Overijssel (PV)";"60 tot 70 jaar";"67756";"67522"
"Overijssel (PV)";"70 tot 80 jaar";"40663";"45274"
"Overijssel (PV)";"80 tot 90 jaar";"16074";"26490"
"Overijssel (PV)";"90 jaar of ouder";"1853";"5508"
"Flevoland (PV)";"16 jaar";"2926";"2773"
"Flevoland (PV)";"17 jaar";"2815";"2631"
"Flevoland (PV)";"18 jaar";"2746";"2506"
"Flevoland (PV)";"19 jaar";"2653";"2342"
"Flevoland (PV)";"20 tot 30 jaar";"26192";"24823"
"Flevoland (PV)";"30 tot 40 jaar";"25408";"26659"
"Flevoland (PV)";"40 tot 50 jaar";"30515";"31270"
"Flevoland (PV)";"50 tot 60 jaar";"29352";"29207"
"Flevoland (PV)";"60 tot 70 jaar";"20900";"20214"
"Flevoland (PV)";"70 tot 80 jaar";"9233";"9964"
"Flevoland (PV)";"80 tot 90 jaar";"3421";"5142"
"Flevoland (PV)";"90 jaar of ouder";"456";"1077"
"Gelderland (PV)";"16 jaar";"13329";"12601"
"Gelderland (PV)";"17 jaar";"12751";"12201"
"Gelderland (PV)";"18 jaar";"12572";"12116"
"Gelderland (PV)";"19 jaar";"12543";"12218"
"Gelderland (PV)";"20 tot 30 jaar";"121616";"118539"
"Gelderland (PV)";"30 tot 40 jaar";"111382";"111513"
"Gelderland (PV)";"40 tot 50 jaar";"146919";"147740"
"Gelderland (PV)";"50 tot 60 jaar";"148944";"147543"
"Gelderland (PV)";"60 tot 70 jaar";"127216";"129253"
"Gelderland (PV)";"70 tot 80 jaar";"73339";"83115"
"Gelderland (PV)";"80 tot 90 jaar";"29167";"47649"
"Gelderland (PV)";"90 jaar of ouder";"3317";"10318"
"Utrecht (PV)";"16 jaar";"7579";"7185"
"Utrecht (PV)";"17 jaar";"7286";"7109"
"Utrecht (PV)";"18 jaar";"7502";"7379"
